title,company,location,category,salary_min,salary_max,contract_type,description,created,redirect_url,full_text,skills_found,skill_count
Anti-Money Laundering Specialist,Tata Consultancy Services,"Chennai, Tamil Nadu",Consultancy Jobs,,,,"Direct Walk-In drive Opportunity @TCS for AML Transaction monitoring on 29th August 2026 Kindly go through the norms below and apply only if its relevant Job Role: AML Transaction monitoring Analyst L1 Investigation Job Location: Chennai Date - 29th August, 2026 Saturday Time - 09.00 AM - 12.00 PM Venue - Tata Consultancy Services Ltd, 1/G1, SIPCOT IT Park Navalur, Siruseri, Chennai - 603103 Experience required: 1 - 4 years Candidate to Carry: Updated CV,1 passport size photo, Photocopy of Aadh…",2026-08-26T23:57:58Z,https://www.adzuna.in/land/ad/5857213386?se=HFP5uROu8RGw3foOHxJxCQ&utm_medium=api&utm_source=48e85034&v=073E1AB6443E5C64A241FD08D321B679EC7EF017,"anti-money laundering specialist direct walk-in drive opportunity @tcs for aml transaction monitoring on 29th august 2026 kindly go through the norms below and apply only if its relevant job role: aml transaction monitoring analyst l1 investigation job location: chennai date - 29th august, 2026 saturday time - 09.00 am - 12.00 pm venue - tata consultancy services ltd, 1/g1, sipcot it park navalur, siruseri, chennai - 603103 experience required: 1 - 4 years candidate to carry: updated cv,1 passport size photo, photocopy of aadh…",[],0
Associate,PKF SRIDHAR & SANTHANAM LLP,"Chennai, Tamil Nadu",Accounting & Finance Jobs,,,,"Seeking a highly capable Chartered Accountant with 1-2 years of post‑qualification experience in Statutory Audit within a CA Practice. The role involves end‑to‑end management of audit engagements, technical review of financial statements, supervision of audit teams, and ensuring compliance with Indian auditing, accounting, and regulatory standards. Candidates should have strong experience in audit execution for diverse industries and be comfortable working in a fast‑paced CA firm environment. K…",2026-08-18T05:08:23Z,https://www.adzuna.in/land/ad/5845683127?se=HFP5uROu8RGw3foOHxJxCQ&utm_medium=api&utm_source=48e85034&v=30CB77A61CDA38E151B42EA6CCAB5CE0715AF3DD,"associate seeking a highly capable chartered accountant with 1-2 years of post‑qualification experience in statutory audit within a ca practice. the role involves end‑to‑end management of audit engagements, technical review of financial statements, supervision of audit teams, and ensuring compliance with indian auditing, accounting, and regulatory standards. candidates should have strong experience in audit execution for diverse industries and be comfortable working in a fast‑paced ca firm environment. k…","['Accounting', 'Auditing']",2
Mega Walkin Drive at HCL Tech for Voice Process - Fresher - Walk in interview on 14th Aug 2026 - 10 AM to 1 PM,HCLTech,"Chennai, Tamil Nadu",IT Jobs,,,,"Mega Walkin Drive at HCL Tech for Voice Process - Fresher - Walk in interview on 14th Aug 2026 - 10 AM to 1 PM Request all the candidate to fill the below form: Fresher - Process Associate - Voice Process (Registration Link) – Fill out form Designation: Process Associate Detailed Responsibilities: Respond promptly and effectively to customer queries and issues via email or chat, ensuring high levels of customer satisfaction. Accurately enter, update, and manage data across multiple systems and …",2026-08-14T16:34:43Z,https://www.adzuna.in/land/ad/5841755494?se=HFP5uROu8RGw3foOHxJxCQ&utm_medium=api&utm_source=48e85034&v=2AA134507169248F64A5BD847097D8688C5665BC,"mega walkin drive at hcl tech for voice process - fresher - walk in interview on 14th aug 2026 - 10 am to 1 pm mega walkin drive at hcl tech for voice process - fresher - walk in interview on 14th aug 2026 - 10 am to 1 pm request all the candidate to fill the below form: fresher - process associate - voice process (registration link) – fill out form designation: process associate detailed responsibilities: respond promptly and effectively to customer queries and issues via email or chat, ensuring high levels of customer satisfaction. accurately enter, update, and manage data across multiple systems and …",['Voice Process'],1
Student Care Executive,Rajalakshmi Engineering College,"Chennai, Tamil Nadu",Teaching Jobs,,,,"Job Description – Student Care Executive Department: Office of Student Affairs Job Purpose To support the Office of Student Affairs in maintaining student discipline, safety, welfare, and a conducive campus environment through regular monitoring, coordination, documentation, and timely reporting. Key Responsibilities Monitor student discipline, dress code, behaviour, and compliance with institutional rules. Conduct regular campus and academic-area rounds, including monitoring during break/free …",2026-08-19T17:13:59Z,https://www.adzuna.in/land/ad/5848120042?se=HFP5uROu8RGw3foOHxJxCQ&utm_medium=api&utm_source=48e85034&v=B72E63ECD5D6FCFA5C92AFF9A777E65B43A22535,"student care executive job description – student care executive department: office of student affairs job purpose to support the office of student affairs in maintaining student discipline, safety, welfare, and a conducive campus environment through regular monitoring, coordination, documentation, and timely reporting. key responsibilities monitor student discipline, dress code, behaviour, and compliance with institutional rules. conduct regular campus and academic-area rounds, including monitoring during break/free …",[],0
Occupational Therapist,T&M Services Consulting Pvt Ltd,"Tamil Nadu, India",Healthcare & Nursing Jobs,,,," Hiring: Occupational Therapist Project: TN RIGHTS Project (World Bank Funded) T&M Services Consulting Pvt. Ltd. is hiring Occupational Therapists for the TN RIGHTS Project, a World Bank-supported initiative focused on rehabilitation services, inclusion, accessibility, and support for persons with disabilities across Tamil Nadu. Position: Occupational Therapist Salary: ₹35,000/- per month Employment Type: Full-Time / Contract Work Location: Multiple locations across Tamil Nadu Eligibility: • Ba…",2026-08-18T05:07:56Z,https://www.adzuna.in/land/ad/5845682859?se=HFP5uROu8RGw3foOHxJxCQ&utm_medium=api&utm_source=48e85034&v=C040F7AA252B693448424ED7A68BAC74DC338FA9,"occupational therapist  hiring: occupational therapist project: tn rights project (world bank funded) t&m services consulting pvt. ltd. is hiring occupational therapists for the tn rights project, a world bank-supported initiative focused on rehabilitation services, inclusion, accessibility, and support for persons with disabilities across tamil nadu. position: occupational therapist salary: ₹35,000/- per month employment type: full-time / contract work location: multiple locations across tamil nadu eligibility: • ba…",[],0
Email Security Engineer (Mimecast & Microsoft 365 Security),Tata Consultancy Services,"Chennai, Tamil Nadu",IT Jobs,,,,"Company: TCS Skill : Email Security Engineer (Mimecast & Microsoft 365 Security) Experience: 10 Location : Chennai, Hyderabad, Kolkata Description: Strong knowledge of Email Security concepts and best practices. Hands-on experience in implementing and managing DMARC, DKIM, and SPF . Experience in email security policy tuning, optimization, and troubleshooting. Working knowledge of Mimecast or any similar Email Security solution. Exposure to Microsoft 365 (O365) Security features and administrat…",2026-09-01T16:23:01Z,https://www.adzuna.in/land/ad/5864440108?se=HFP5uROu8RGw3foOHxJxCQ&utm_medium=api&utm_source=48e85034&v=6D2537A807270612BA5AF538DC6ED4923E6A1586,"email security engineer (mimecast & microsoft 365 security) company: tcs skill : email security engineer (mimecast & microsoft 365 security) experience: 10 location : chennai, hyderabad, kolkata description: strong knowledge of email security concepts and best practices. hands-on experience in implementing and managing dmarc, dkim, and spf . experience in email security policy tuning, optimization, and troubleshooting. working knowledge of mimecast or any similar email security solution. exposure to microsoft 365 (o365) security features and administrat…",[],0
Operations and Maintenance Engineer in Tamil Nadu,SANY Renewable Energy,"Tamil Nadu, India",Engineering Jobs,,,,"Job Responsibilities: 1. Provide support towards customer and sales team by presenting Sany service portfolio, and service plan (region/country/project-level) incl. business model, training plan, recruitment plan, spare parts plan, inspection plan, scheduled maintenance, transportation & crane plan, warehousing plan, Q-EHS plan etc. 2. Be the overall owner (focal point), lead the stratification, planning and preparation of service proposals, including close liaison with all necessary multidisci…",2026-09-10T01:02:28Z,https://www.adzuna.in/land/ad/5877457606?se=HFP5uROu8RGw3foOHxJxCQ&utm_medium=api&utm_source=48e85034&v=493FBB46D489881335CCD06E302218D2D33090F6,"operations and maintenance engineer in tamil nadu job responsibilities: 1. provide support towards customer and sales team by presenting sany service portfolio, and service plan (region/country/project-level) incl. business model, training plan, recruitment plan, spare parts plan, inspection plan, scheduled maintenance, transportation & crane plan, warehousing plan, q-ehs plan etc. 2. be the overall owner (focal point), lead the stratification, planning and preparation of service proposals, including close liaison with all necessary multidisci…","['Sales', 'Recruiting']",2
Professor in Computer Science and Engineering,KPR Institute of Engineering and Technology,"Coimbatore, Tamil Nadu",Engineering Jobs,,,,"Kind Attention Computer Science and Engineering Experts! KPR Institute of Engineering and Technology seeks a Computer Science and Engineering Expert to join our dynamic team of educators! KPRIET is a globally connected and engaged engineering institute in Coimbatore, India. Our teaching is industry-informed, and our research is innovative and adventurous. We enhance the skills and knowledge of our students to meet global needs and create new professionals to respond to change. Our graduates are…",2026-08-27T15:58:57Z,https://www.adzuna.in/land/ad/5858113294?se=HFP5uROu8RGw3foOHxJxCQ&utm_medium=api&utm_source=48e85034&v=968562A8FE874F890CC3E142A418EADB275193B5,"professor in computer science and engineering kind attention computer science and engineering experts! kpr institute of engineering and technology seeks a computer science and engineering expert to join our dynamic team of educators! kpriet is a globally connected and engaged engineering institute in coimbatore, india. our teaching is industry-informed, and our research is innovative and adventurous. we enhance the skills and knowledge of our students to meet global needs and create new professionals to respond to change. our graduates are…",['Computer Science Fundamentals'],1
B2B Sales Manager,Lifeline Safety Solutions LLP,"Chennai, Tamil Nadu",Sales Jobs,,,,"ABOUT US Lifeline Safety Solutions LLP is a growing supplier of industrial safety footwear, providing high-quality safety shoes to manufacturing industries, construction companies, warehouses, engineering firms, and other industrial businesses. We offer ISI-certified safety footwear designed for protection, durability, and comfort. JOB SUMMARY We are looking for a dynamic and self-motivated B2B Sales Executive to develop new business opportunities and build long-term relationships with industri…",2026-09-10T09:04:39Z,https://www.adzuna.in/land/ad/5877918360?se=HFP5uROu8RGw3foOHxJxCQ&utm_medium=api&utm_source=48e85034&v=EA566F8285DADE5DAC713F45D9AA24BD43688C3F,"b2b sales manager about us lifeline safety solutions llp is a growing supplier of industrial safety footwear, providing high-quality safety shoes to manufacturing industries, construction companies, warehouses, engineering firms, and other industrial businesses. we offer isi-certified safety footwear designed for protection, durability, and comfort. job summary we are looking for a dynamic and self-motivated b2b sales executive to develop new business opportunities and build long-term relationships with industri…","['Sales', 'B2B Marketing']",2
Hiring for US Healthcare Medical Billing Team Lead - Chennai,HCLTech,"Chennai, Tamil Nadu",Healthcare & Nursing Jobs,,,,"Opening for US Healthcare AR Medical Billing Team Lead (Voice)- Chennai Location : Chennai Shift - US Shift Experience - 5 to 8 years Designation - Team Lead RESPONSIBILITIES : Responsible for the day-to-day management of 7 – 25 front level employees Adhering to agreed Key Performance Indicators, Service Level Agreements and quality standards to maximize customer satisfaction Minimize errors/feedback and increase first touch resolution through effective coaching, support, supplemental training …",2026-07-28T21:17:40Z,https://www.adzuna.in/land/ad/5818523165?se=HFP5uROu8RGw3foOHxJxCQ&utm_medium=api&utm_source=48e85034&v=2E51AF72786A50A98A9E194E78F90C4C6D812863,"hiring for us healthcare medical billing team lead - chennai opening for us healthcare ar medical billing team lead (voice)- chennai location : chennai shift - us shift experience - 5 to 8 years designation - team lead responsibilities : responsible for the day-to-day management of 7 – 25 front level employees adhering to agreed key performance indicators, service level agreements and quality standards to maximize customer satisfaction minimize errors/feedback and increase first touch resolution through effective coaching, support, supplemental training …",[],0
Network Support,Kyndryl,"Chennai, Tamil Nadu",IT Jobs,,,,"This job is with Kyndryl, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. Who We Are At Kyndryl, we run and reimagine the mission-critical technology systems that drive advantage for the world's leading businesses. We are at the heart of progress; with proven expertise and a continuous flow of AI-powered insight, enabling smarter decisions, faster innovation, and a lasting competitive edg…",2026-08-12T01:59:14Z,https://www.adzuna.in/land/ad/5837138709?se=DuMQvBOu8RGhe8--YZ_w9w&utm_medium=api&utm_source=48e85034&v=7CDB7D99700EA22C74C9F7D69CD11E8FF2057D4A,"network support this job is with kyndryl, an inclusive employer and a member of mygwork – the largest global platform for the lgbtq business community. please do not contact the recruiter directly. who we are at kyndryl, we run and reimagine the mission-critical technology systems that drive advantage for the world's leading businesses. we are at the heart of progress; with proven expertise and a continuous flow of ai-powered insight, enabling smarter decisions, faster innovation, and a lasting competitive edg…",[],0
Portfolio Delivery Director,HCLTech,"Chennai, Tamil Nadu",IT Jobs,,,,"Job Summary GCC Delivery Lead - Job Description About the Role Responsibilities include leading AD/AMS delivery programs from offshore, managing geographically distributed teams across multiple delivery models, and ensuring service stability, operational performance, SLA/KPI attainment, and customer satisfaction. Responsibilities: Work from the Customer GCC (Global Capability Center) Location Identify areas of growth and understand upsell/cross-sell service line offerings from the to the Custom…",2026-08-20T23:23:22Z,https://www.adzuna.in/land/ad/5849888867?se=DuMQvBOu8RGhe8--YZ_w9w&utm_medium=api&utm_source=48e85034&v=749A64CBDD7B707479A6E205797C20B846C7BBA3,"portfolio delivery director job summary gcc delivery lead - job description about the role responsibilities include leading ad/ams delivery programs from offshore, managing geographically distributed teams across multiple delivery models, and ensuring service stability, operational performance, sla/kpi attainment, and customer satisfaction. responsibilities: work from the customer gcc (global capability center) location identify areas of growth and understand upsell/cross-sell service line offerings from the to the custom…",[],0
Company Secretary,Live Connections,"Tiruvallur, Tamil Nadu",Accounting & Finance Jobs,,,,"Company Secretary is responsible for statutory compliances –Companies Act, , Costing , Revenue Recognition. Preparing Agenda, Notice and Minutes for Board Meeting, Annual General Meeting Convening Board, Annual General Meeting, Extraordinary General Meeting Maintenance of Secretarial Records and Statutory Registers as per Companies Act, 2013 Preparation and filing of various forms and returns with the Registrar of Companies. Preparation of Board’s Report as per Companies Act, 2013. Preparation …",2026-09-06T18:33:37Z,https://www.adzuna.in/land/ad/5873073669?se=DuMQvBOu8RGhe8--YZ_w9w&utm_medium=api&utm_source=48e85034&v=C6A2BB18D20BE9BD2C7E38DF446330AD44E7AB5E,"company secretary company secretary is responsible for statutory compliances –companies act, , costing , revenue recognition. preparing agenda, notice and minutes for board meeting, annual general meeting convening board, annual general meeting, extraordinary general meeting maintenance of secretarial records and statutory registers as per companies act, 2013 preparation and filing of various forms and returns with the registrar of companies. preparation of board’s report as per companies act, 2013. preparation …",[],0
Area Sales Manager,Himalyan Acoustics,"Chennai, Tamil Nadu",Sales Jobs,,,,"We are actively looking for someone who can drive aggressive sales growth, build strong pipelines, and lead from the front in a fast-growing soundproofing solutions business.  Location: Chennai  Role: Area / Regional Sales Manager  Experience: 5 years This is not a routine sales role — we need someone who can: • Own the region and drive revenue aggressively • Build and convert a strong pipeline through field activity and references • Deliver impactful client presentations and close high-value d…",2026-09-09T14:46:25Z,https://www.adzuna.in/land/ad/5876872470?se=DuMQvBOu8RGhe8--YZ_w9w&utm_medium=api&utm_source=48e85034&v=FA5946DCF69D430484FCCA9F750D3ED89D40164F,"area sales manager we are actively looking for someone who can drive aggressive sales growth, build strong pipelines, and lead from the front in a fast-growing soundproofing solutions business.  location: chennai  role: area / regional sales manager  experience: 5 years this is not a routine sales role — we need someone who can: • own the region and drive revenue aggressively • build and convert a strong pipeline through field activity and references • deliver impactful client presentations and close high-value d…",['Sales'],1
Client & Customer Service Analyst,Deutsche Bank,"Vellore, Tamil Nadu",Accounting & Finance Jobs,,,,"This job is with Deutsche Bank, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. Position Overview Role Description Ensuring DB Service Standards w.r.t. to Customer Service, Compliance and Corporate Security are adhered too. Ensure total Compliance of all audit guidelines set by External (RBI, NSDL) and Internal OR Auditors. Error Free Processing of transactions with in specified SLA’s. En…",2026-08-18T18:03:36Z,https://www.adzuna.in/land/ad/5846723305?se=DuMQvBOu8RGhe8--YZ_w9w&utm_medium=api&utm_source=48e85034&v=EDA1F6966260F576633ECD2DC16A0DEC3E2E6852,"client & customer service analyst this job is with deutsche bank, an inclusive employer and a member of mygwork – the largest global platform for the lgbtq business community. please do not contact the recruiter directly. position overview role description ensuring db service standards w.r.t. to customer service, compliance and corporate security are adhered too. ensure total compliance of all audit guidelines set by external (rbi, nsdl) and internal or auditors. error free processing of transactions with in specified sla’s. en…","['Auditing', 'Customer Service']",2
Internal Audit Assistant,Ganesh & Associates,"Coimbatore, Tamil Nadu",Accounting & Finance Jobs,,,contract,"Company Description Ganesh & Associates is a professional services firm specializing in audit and financial advisory support for a diverse range of clients. The firm is committed to maintaining high standards of integrity, accuracy, and compliance in all engagements. Team members work closely with clients to strengthen internal controls and improve financial processes. Ganesh & Associates values continuous learning, collaboration, and a detail-oriented approach to delivering reliable audit serv…",2026-09-03T16:50:34Z,https://www.adzuna.in/land/ad/5868794414?se=DuMQvBOu8RGhe8--YZ_w9w&utm_medium=api&utm_source=48e85034&v=DC7EAA792AC7736BF8937452F0229AB9782E1A72,"internal audit assistant company description ganesh & associates is a professional services firm specializing in audit and financial advisory support for a diverse range of clients. the firm is committed to maintaining high standards of integrity, accuracy, and compliance in all engagements. team members work closely with clients to strengthen internal controls and improve financial processes. ganesh & associates values continuous learning, collaboration, and a detail-oriented approach to delivering reliable audit serv…",['Auditing'],1
Senior Frontend Engineer,SQ1 Security,"Chennai, Tamil Nadu",IT Jobs,,,,"We are looking for a talented Senior Frontend/UI Developer to build modern, responsive, and user-friendly web applications. The ideal candidate should have strong expertise in React.js, Next.js, TypeScript, JavaScript, HTML5, CSS3, and modern UI frameworks Key Responsibilities Design, develop, and maintain responsive web applications using React.js and Next.js. Build reusable, scalable, and maintainable UI components. Translate UI/UX designs into high-quality production-ready code. Develop appl…",2026-09-01T16:21:57Z,https://www.adzuna.in/land/ad/5864432662?se=DuMQvBOu8RGhe8--YZ_w9w&utm_medium=api&utm_source=48e85034&v=29CE06D3AB1D489B5ADA3F4A40C3D2D1788A8E32,"senior frontend engineer we are looking for a talented senior frontend/ui developer to build modern, responsive, and user-friendly web applications. the ideal candidate should have strong expertise in react.js, next.js, typescript, javascript, html5, css3, and modern ui frameworks key responsibilities design, develop, and maintain responsive web applications using react.js and next.js. build reusable, scalable, and maintainable ui components. translate ui/ux designs into high-quality production-ready code. develop appl…",['JavaScript'],1
Direct Tax Specialist,Standard Chartered Bank,"Chennai, Tamil Nadu",Accounting & Finance Jobs,,,,"This job is with Standard Chartered Bank, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. Job Summary • Preparation of corporate income tax returns for various jurisdictions not limiting to one. • Prepare Tax computations, Longview schedule updation, reconciliations, tax journals for IFRS Reporting purposes on a quarterly basis. • Computing Effective Tax Rate (ETR) calculations. • Provide…",2026-09-04T00:32:00Z,https://www.adzuna.in/land/ad/5869485045?se=DuMQvBOu8RGhe8--YZ_w9w&utm_medium=api&utm_source=48e85034&v=5A901B1BCB428BCCAB719CC4ABD0F50265F417DC,"direct tax specialist this job is with standard chartered bank, an inclusive employer and a member of mygwork – the largest global platform for the lgbtq business community. please do not contact the recruiter directly. job summary • preparation of corporate income tax returns for various jurisdictions not limiting to one. • prepare tax computations, longview schedule updation, reconciliations, tax journals for ifrs reporting purposes on a quarterly basis. • computing effective tax rate (etr) calculations. • provide…",['Taxation'],1
"Business Analyst, Subledger Change",Standard Chartered Bank,"Chennai, Tamil Nadu",Accounting & Finance Jobs,,,,"This job is with Standard Chartered Bank, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. Job Summary We're looking for a talented Business Analyst to join our Markets Technology team. You'll work across Financial Markets Analytics, Risk and Valuation and partner with our international SABRE team, helping to transform complex data into strategic insights to drive us forward. You'll be par…",2026-08-15T00:04:22Z,https://www.adzuna.in/land/ad/5842115043?se=DuMQvBOu8RGhe8--YZ_w9w&utm_medium=api&utm_source=48e85034&v=CB41CADBEFA7A10F63F372BC45DE44AB09879D32,"business analyst, subledger change this job is with standard chartered bank, an inclusive employer and a member of mygwork – the largest global platform for the lgbtq business community. please do not contact the recruiter directly. job summary we're looking for a talented business analyst to join our markets technology team. you'll work across financial markets analytics, risk and valuation and partner with our international sabre team, helping to transform complex data into strategic insights to drive us forward. you'll be par…",[],0
Digital Sales Manager,FundsIndia,"Chennai, Tamil Nadu",Accounting & Finance Jobs,,,,"RELATIONSHIP MANAGER – MUTUAL FUNDS We are looking for an Investment Coach who is responsible for providing personalized guidance and support to investors seeking to enhance their financial portfolios through strategic investment decisions. This role involves educating clients on mutual funds, reviewing the portfolios and to help them achieve their financial goals. The Investment Coach should possess an understanding of financial markets, investment instruments, and be able to communicate inves…",2026-09-11T17:16:03Z,https://www.adzuna.in/land/ad/5879668033?se=DuMQvBOu8RGhe8--YZ_w9w&utm_medium=api&utm_source=48e85034&v=7A2A59F8E58FB58D1ED50831BA251EE4B3F53DDE,"digital sales manager relationship manager – mutual funds we are looking for an investment coach who is responsible for providing personalized guidance and support to investors seeking to enhance their financial portfolios through strategic investment decisions. this role involves educating clients on mutual funds, reviewing the portfolios and to help them achieve their financial goals. the investment coach should possess an understanding of financial markets, investment instruments, and be able to communicate inves…",['Sales'],1
Hiring for OTC Collection _Chennai,HCLTech,"Chennai, Tamil Nadu",Accounting & Finance Jobs,,,,We are hiring experienced professionals for OTC – Collections. Designation : Senior Process Associate No Of Position s: 10 Experience : 1 – 4 Years (Relevant OTC – Collections Experience Mandatory) Work Location : Chennai Shift : US shift  Key Responsibilities Manage complex and high‑profile accounts using defined collection strategies Own and control aged receivables as per SLAs and performance metrics Implement and remove service stops as per process guidelines Review UMCC and on‑account paym…,2026-07-13T01:58:06Z,https://www.adzuna.in/land/ad/5798139223?se=DuMQvBOu8RGhe8--YZ_w9w&utm_medium=api&utm_source=48e85034&v=C3E8E87DD5B8E0ABCFE1AF5F8091BFB9731A0677,hiring for otc collection _chennai we are hiring experienced professionals for otc – collections. designation : senior process associate no of position s: 10 experience : 1 – 4 years (relevant otc – collections experience mandatory) work location : chennai shift : us shift  key responsibilities manage complex and high‑profile accounts using defined collection strategies own and control aged receivables as per slas and performance metrics implement and remove service stops as per process guidelines review umcc and on‑account paym…,[],0
Bakery Chef,Millet Maagic Meal,"Chennai, Tamil Nadu",Hospitality & Catering Jobs,,,,"Role: Bakery Chef Company : Millet Maagic Meal Private Limited Location: Chennai Role Summary – Bakery Chef Roles & Responsibilities Manage day-to-day bakery operations and ensure the availability of required ingredients and supplies. Ensure proper handling, storage, and temperature control of food products in accordance with applicable food safety and preservation standards. Lead, coordinate, and supervise the team in all food preparation, baking, finishing, and presentation activities. Ensure…",2026-08-13T16:20:06Z,https://www.adzuna.in/land/ad/5840225998?se=DuMQvBOu8RGhe8--YZ_w9w&utm_medium=api&utm_source=48e85034&v=4205581D7A53337D2B8950674B3EC30A13BAF3BC,"bakery chef role: bakery chef company : millet maagic meal private limited location: chennai role summary – bakery chef roles & responsibilities manage day-to-day bakery operations and ensure the availability of required ingredients and supplies. ensure proper handling, storage, and temperature control of food products in accordance with applicable food safety and preservation standards. lead, coordinate, and supervise the team in all food preparation, baking, finishing, and presentation activities. ensure…",[],0
Scientific Illustrator,Elsevier,"Chennai, Tamil Nadu",Creative & Design Jobs,,,contract,"This job is with Elsevier, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. Scientific Illustrator Are you passionate about transforming complex scientific concepts into compelling visual stories that support world-class research communication? Do you enjoy combining illustration, design, and scientific understanding to create impactful visuals for a global scientific community? About our …",2026-09-06T12:17:27Z,https://www.adzuna.in/land/ad/5872825764?se=DuMQvBOu8RGhe8--YZ_w9w&utm_medium=api&utm_source=48e85034&v=AB46B03C6983F6A01C31CC6D7281C03C1B64E5D1,"scientific illustrator this job is with elsevier, an inclusive employer and a member of mygwork – the largest global platform for the lgbtq business community. please do not contact the recruiter directly. scientific illustrator are you passionate about transforming complex scientific concepts into compelling visual stories that support world-class research communication? do you enjoy combining illustration, design, and scientific understanding to create impactful visuals for a global scientific community? about our …",[],0
SAP FICO Consultant,ASG Eye Hospital,"Chennai, Tamil Nadu",IT Jobs,,,,"Hiring: Domain Consultant – SAP FICO Location: Jaipur / Chennai Experience: 6–8 Years Role: SAP S/4HANA FICO Techno-Functional Consultant We are looking for an experienced SAP S/4HANA FICO Consultant with strong functional and techno-functional expertise to support implementation, integration, optimization, and production support. Key Responsibilities: Configure and support GL, AP, AR, Asset Accounting, CCA & COPA Work on S/4HANA implementation & migration projects Handle WRICEF, Functional Spe…",2026-09-07T18:39:34Z,https://www.adzuna.in/land/ad/5874135049?se=DuMQvBOu8RGhe8--YZ_w9w&utm_medium=api&utm_source=48e85034&v=4AD02BF3B222E43A769B9912A66FF09CC9A7E165,"sap fico consultant hiring: domain consultant – sap fico location: jaipur / chennai experience: 6–8 years role: sap s/4hana fico techno-functional consultant we are looking for an experienced sap s/4hana fico consultant with strong functional and techno-functional expertise to support implementation, integration, optimization, and production support. key responsibilities: configure and support gl, ap, ar, asset accounting, cca & copa work on s/4hana implementation & migration projects handle wricef, functional spe…","['Accounting', 'SAP']",2
"VP, CL, BackEnd Eng, WRB Tech",Standard Chartered Bank,"Chennai, Tamil Nadu",IT Jobs,,,,"This job is with Standard Chartered Bank, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. Job Summary We're seeking a highly skilled and experienced Java Backend Engineer Development Specialist to join our dynamic team. You'll be responsible for designing, developing, and maintaining robust, secure and efficient financial systems. You'll be part of our global Application Development, Supp…",2026-08-29T14:15:23Z,https://www.adzuna.in/land/ad/5860916277?se=DuMQvBOu8RGhe8--YZ_w9w&utm_medium=api&utm_source=48e85034&v=E554F9AA528FC4442110F8DFDAB91C9AEBACE5EB,"vp, cl, backend eng, wrb tech this job is with standard chartered bank, an inclusive employer and a member of mygwork – the largest global platform for the lgbtq business community. please do not contact the recruiter directly. job summary we're seeking a highly skilled and experienced java backend engineer development specialist to join our dynamic team. you'll be responsible for designing, developing, and maintaining robust, secure and efficient financial systems. you'll be part of our global application development, supp…",['Java'],1
Graphic Designer Lead,Hexaware Technologies,"Chennai, Tamil Nadu",Creative & Design Jobs,,,,"Role :: Graphic Designer Lead Experience :: 8 -12 years Location :: Mumbai/ Chennai Responsibilities • Create and oversee the production of visually striking graphics for a range of digital and print media, ensuring alignment with our brand's visual identity. • Guide the video production team, applying your expertise in motion graphics to elevate our video content. • Collaborate with the marketing team to convert campaign objectives into visually impactful designs and videos. • Develop and exec…",2026-08-20T17:56:33Z,https://www.adzuna.in/land/ad/5849577513?se=DuMQvBOu8RGhe8--YZ_w9w&utm_medium=api&utm_source=48e85034&v=8AAB0A09217F4E79CA49B2DD0F2AAAAE8583331B,"graphic designer lead role :: graphic designer lead experience :: 8 -12 years location :: mumbai/ chennai responsibilities • create and oversee the production of visually striking graphics for a range of digital and print media, ensuring alignment with our brand's visual identity. • guide the video production team, applying your expertise in motion graphics to elevate our video content. • collaborate with the marketing team to convert campaign objectives into visually impactful designs and videos. • develop and exec…",[],0
Data Science Trainer,HCLTech,"Chennai, Tamil Nadu",IT Jobs,,,,"Data Scientist – Generative AI & Machine Learning Trainer | HCLTech  Location: Chennai | Bangalore  Experience: 5 to 8 Years (2 to 5 years in Generative AI & LLMs) HCLTech is looking for a passionate and experienced Data Scientist – Generative AI & Machine Learning Trainer to design, develop, and deliver advanced AI and Machine Learning learning solutions. This role is ideal for professionals with hands-on expertise in Large Language Models (LLMs), Generative AI, NLP, Machine Learning, and Deep…",2026-09-01T16:19:54Z,https://www.adzuna.in/land/ad/5864422405?se=DuMQvBOu8RGhe8--YZ_w9w&utm_medium=api&utm_source=48e85034&v=7CC9C68E6AB99AB7F5058CB51EDB493BFEF1B359,"data science trainer data scientist – generative ai & machine learning trainer | hcltech  location: chennai | bangalore  experience: 5 to 8 years (2 to 5 years in generative ai & llms) hcltech is looking for a passionate and experienced data scientist – generative ai & machine learning trainer to design, develop, and deliver advanced ai and machine learning learning solutions. this role is ideal for professionals with hands-on expertise in large language models (llms), generative ai, nlp, machine learning, and deep…",['Machine Learning'],1
