title,company,location,category,contract_type,created,skills_found_clean,skill_count,description_short,redirect_url
"Assoc, Production Eng, WRB Tech",Standard Chartered Bank,"Chennai, Tamil Nadu",IT Jobs,,2026-09-04T10:16:20Z,None Matched,0,"This job is with Standard Chartered Bank, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. Job Summary The role is accountable for tactical and operational support for production services, acro...",https://www.adzuna.in/land/ad/5870028836?se=HKsapROu8RGhe8--YZ_w9w&utm_medium=api&utm_source=48e85034&v=BEA5095EAA9DB5F8F3650D15F45046E769F99919
"Veeam Backup and Replication, Backup",Tata Consultancy Services,"Chennai, Tamil Nadu",IT Jobs,,2026-09-01T16:22:43Z,SQL,1,"TCS is Hiring for Veeam Backup and Replication, Backup Mode Of Interview:- Virtual Date Of Interview:- 19-08-2026 location:- Chennai Notice Period:- Immediate joiner Exp:- 8-10Yr JD Must-Have  Backup & Recovery Management Configure and manage Veeam Backup & Replication Create and maintain: Backup jo...",https://www.adzuna.in/land/ad/5864438164?se=HKsapROu8RGhe8--YZ_w9w&utm_medium=api&utm_source=48e85034&v=D9F595516D75FDE92B0B2CF5B00A0C856E690691
International Customer Service Representative,Shalini Recruitments,"Chennai, Tamil Nadu",Customer Services Jobs,,2026-09-11T17:14:57Z,"Customer Service, Communication Skills",2,"About the Job : We are looking for enthusiastic and customer-focused individuals to join our team as International Customer Service Representatives in Chennai. The role involves handling international customers through voice support, understanding their queries and concerns, providing appropriate so...",https://www.adzuna.in/land/ad/5879666248?se=HKsapROu8RGhe8--YZ_w9w&utm_medium=api&utm_source=48e85034&v=A35BA6FB8C7690919D037AF9491888E908DE21B1
Functional Tester /Test Lead,Kyndryl,"Chennai, Tamil Nadu",IT Jobs,,2026-08-12T01:59:28Z,None Matched,0,"This job is with Kyndryl, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. Who We Are At Kyndryl, we run and reimagine the mission-critical technology systems that drive advantage for the world...",https://www.adzuna.in/land/ad/5837139149?se=HKsapROu8RGhe8--YZ_w9w&utm_medium=api&utm_source=48e85034&v=FCB3A77EBACA9A20A3BB5A2CCA9F3197DE09BE97
Team Lead - International BPO Technical Support,Movate,"Chennai, Tamil Nadu",IT Jobs,,2026-09-01T16:22:09Z,"Sales, Customer Service",2,"Job Title: Team Leader – Technical Support Job Location: Chennai Shift: Night Shift Job Summary The Team Leader (TL) – Technical Support will be responsible for leading, mentoring, and driving the operational performance of a team of Technical Support Engineers on the Netgear account. The role deman...",https://www.adzuna.in/land/ad/5864434489?se=HKsapROu8RGhe8--YZ_w9w&utm_medium=api&utm_source=48e85034&v=0FFCB9019DA8A5E0E3C264B02C5BDC100F207FA9
Infrastructure Project Manager,Neurealm,"Chennai, Tamil Nadu",IT Jobs,permanent,2026-08-19T17:14:52Z,None Matched,0,"We are seeking a Project Manager with experience in delivering Infrastructure projects incluiding Server, Network, Storage, Cloud, EUC & NOC Technologies. Experience: 10 to 15 years of experience in infrastructure operations/service delivery, including experience managing multi-tower teams (Windows,...",https://www.adzuna.in/land/ad/5848120612?se=HKsapROu8RGhe8--YZ_w9w&utm_medium=api&utm_source=48e85034&v=2E76088FBE9763C19F6A6EF3A3803D682C4B4418
Associate Manager - Accounting & Controls,Standard Chartered Bank,"Chennai, Tamil Nadu",Accounting & Finance Jobs,,2026-09-09T20:23:55Z,Accounting,1,"This job is with Standard Chartered Bank, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. Key Responsibilities Strategy • Needs to and be aware of the understand the Group's Strategy (looking ...",https://www.adzuna.in/land/ad/5877184318?se=HKsapROu8RGhe8--YZ_w9w&utm_medium=api&utm_source=48e85034&v=C1D356160E0669AC0AC808C0965496B3963B9E1A
Relationship Manager-PCG-Advisory,Chola Securities,"Chennai, Tamil Nadu",Sales Jobs,,2026-07-15T22:28:19Z,None Matched,0,"Job Title: Relationship Manager-PCG-Advisory Location: Chennai, Bangalore, Hyderabad, Kolkata, & Delhi Key Responsibilities: Execute trades on behalf of clients, aligning with their investment strategies and preferences. Provide our research advisory to the clients based on the client profile to gen...",https://www.adzuna.in/land/ad/5801404246?se=HKsapROu8RGhe8--YZ_w9w&utm_medium=api&utm_source=48e85034&v=290CFE9141E5A3E9451DF58B606BAE661241B653
Field Support Specialist II (FSS II),Dorman Products,"Chennai, Tamil Nadu",IT Jobs,,2026-09-01T16:21:42Z,Customer Service,1,"Position Summary The Field Support Specialist II (FSS II) serves as the primary on-site IT support resource for end users, delivering exceptional customer service and technical support across the organization's technology environment. This role is responsible for providing first and second-level tec...",https://www.adzuna.in/land/ad/5864430797?se=HKsapROu8RGhe8--YZ_w9w&utm_medium=api&utm_source=48e85034&v=C968143F9A19A0A2FBDAF2217D190CF5CB6313D5
CRM Program Manager,Kambaa Inc,"Chennai, Tamil Nadu",IT Jobs,contract,2026-08-18T05:07:15Z,CRM Software,1,"Job Title: CRM Program Manager Location: Chennai, India Budget: Up to INR 10 lakhs per annum Employment Type: Full-time, permanent role. This is not a contractual role. Work Mode: 100% on-site at the client’s manufacturing facility for the full duration of the project( 12 months and above ). Facilit...",https://www.adzuna.in/land/ad/5845682499?se=HKsapROu8RGhe8--YZ_w9w&utm_medium=api&utm_source=48e85034&v=E338E36AA142342DF44690B4125F5E7884A784A3
Credit Analyst,Robert Walters,"Chennai, Tamil Nadu",Accounting & Finance Jobs,permanent,2026-08-21T17:25:24Z,Recruiting,1,"Job Title: Credit Analyst Location: Chennai, India Perm/Contract/ Full-time/Part-time: Permanent On-site/Hybrid/Remote: On-site Who We Are Robert Walters is the world’s most trusted talent solutions business. Across the globe, we deliver recruitment, outsourcing, and talent advisory services for bus...",https://www.adzuna.in/land/ad/5850982323?se=HKsapROu8RGhe8--YZ_w9w&utm_medium=api&utm_source=48e85034&v=48951E8B7CCD5A00466DB198272F2256B0A06995
Technical Non voice process (International),Movate,"Chennai, Tamil Nadu",IT Jobs,,2026-09-03T04:28:53Z,Voice Process,1,"If you're passionate about customer experience, enjoy solving technical issues, and are looking to build your career with a global digital technology and customer experience company, we'd like to connect with you. Position: Technical Support Engineer – International Non Voice Process Location: Ambat...",https://www.adzuna.in/land/ad/5867717282?se=BstOqBOu8RGIYJ7STQTgoQ&utm_medium=api&utm_source=48e85034&v=046A57FDBF63F6D63250755AC31B7B8890753E5D
"Academic Counselor – EdTech Sales | Student Counseling & Admissions | Campus Location: Pandian Nagar, Dindigul, Tamil Nadu.",Boston Institute of Analytics,"Dindigul, Tamil Nadu",Teaching Jobs,,2026-09-05T08:49:46Z,Sales,1,"Company Location: Dindigul, Tamil Nadu Company: Boston Institute of Analytics. Experience: Minimum 2-3 years in EdTech sales, academic counseling, or a related field Job Description Are you passionate about helping students achieve their educational and career goals? Do you have a knack for guiding ...",https://www.adzuna.in/land/ad/5871353258?se=BstOqBOu8RGIYJ7STQTgoQ&utm_medium=api&utm_source=48e85034&v=7D3FC26399E93FCCB7D05339344D2E56DA708889
Sales Executive (Industrial IoT),Eth Ben Crypto Projects,"Chennai, Tamil Nadu",Sales Jobs,,2026-09-09T14:45:00Z,Sales,1,"For our client: Job Description Sales Executive (Industrial IoT) Location: Chennai, India Experience: 2–4 Years Employment Type: Full-time Role Summary The Sales Executive will be responsible for identifying new business opportunities, engaging with prospective customers, understanding their manufac...",https://www.adzuna.in/land/ad/5876870600?se=BstOqBOu8RGIYJ7STQTgoQ&utm_medium=api&utm_source=48e85034&v=886931B50AE91402BC9AA5560F6344E5D3536408
TCS IS HIRING FOR M365 Exchange Administrator,Tata Consultancy Services,"Chennai, Tamil Nadu",IT Jobs,,2026-08-05T17:45:13Z,None Matched,0,"Location - Chennai Exp - 8-10 yrs Skills - M365 Exchange Administrator Responsibilities M365 Tenant and Platform Administration including configuration and setup Strong exposure on M365 fundamentals including License Management, User & Mailbox, MS teams, Onedrive for Business, Sharepoint Online admi...",https://www.adzuna.in/land/ad/5829060507?se=BstOqBOu8RGIYJ7STQTgoQ&utm_medium=api&utm_source=48e85034&v=A33FC80502CD84422670F61336B0A11DF93B7681
Senior Admission Counsellor - Study Abroad,upGrad Study Abroad,"Chennai, Tamil Nadu",Teaching Jobs,,2026-08-18T05:08:43Z,Sales,1,Senior Admission Counsellor – Premium Vertical Location: Chennai Function: Sales – Study Abroad Vertical: Premium Role: Senior Admission Counsellor Work Schedule: 6 days a week | Sunday fixed off About the Role We are looking for an experienced and result-oriented Senior Admission Counsellor to join...,https://www.adzuna.in/land/ad/5845683379?se=BstOqBOu8RGIYJ7STQTgoQ&utm_medium=api&utm_source=48e85034&v=05D227A4D9E0CF6EE2CB2D2B3D541C163A5E64B1
Head of Sales,Exterro India,"Chennai, Tamil Nadu",Sales Jobs,,2026-09-06T18:34:42Z,Sales,1,"Sales Leader Location: India Exterro is seeking a motivated and results-driven Sales Leader to join our dynamic SaaS sales team. Reporting directly to the Vice President of International Sales, this Sales Leader will lead and scale our high velocity Sales organization in India ensuring the achieveme...",https://www.adzuna.in/land/ad/5873074127?se=BstOqBOu8RGIYJ7STQTgoQ&utm_medium=api&utm_source=48e85034&v=144BEC8A656E9FC60482042F126C3E9CC2A488EF
Technical Account Manager,Anoud Technologies LLC,"Chennai, Tamil Nadu",IT Jobs,,2026-08-22T17:35:16Z,SQL,1,Job Description Location: Chennai (Work from Office – Mandatory) Experience: 10 – 15 Years Employment Type: Full-time Certification: PMP Certified – Mandatory About the Role Anoud Technologies is seeking an experienced Technical Account Manager with strong Oracle Database and PL/SQL expertise to act...,https://www.adzuna.in/land/ad/5852476918?se=BstOqBOu8RGIYJ7STQTgoQ&utm_medium=api&utm_source=48e85034&v=76D7EB1BEC87A7C870855C99BB208C1FDE872836
ETL Data Engineer (DBT),AGAM Technologies Solutions Private Limited,"Coimbatore, Tamil Nadu",IT Jobs,,2026-09-09T14:45:45Z,SQL,1,"Job description Experience: 7 Years Location: Coimbatore- Work from Office Employment Type: Full-time Availability: Immediate Joiner Preferred About the Role We are looking for an experienced ETL Data Engineer with strong expertise in DBT (Data Build Tool) to design, develop, and optimize scalable d...",https://www.adzuna.in/land/ad/5876872214?se=BstOqBOu8RGIYJ7STQTgoQ&utm_medium=api&utm_source=48e85034&v=98CD719D04DA6B8784404FF4481F262D57655F54
Multilingual Quality & Terminology Specialist (0726-CH-134),Elsevier,"Chennai, Tamil Nadu",IT Jobs,,2026-09-10T16:23:23Z,None Matched,0,"This job is with Elsevier, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. Are you an experienced quality engineer with a 'can do' attitude and enthusiasm that inspires others? And are you eag...",https://www.adzuna.in/land/ad/5878336112?se=BstOqBOu8RGIYJ7STQTgoQ&utm_medium=api&utm_source=48e85034&v=D9261D1EBADAE2E15BF8FB523D6BC0848817A725
Customer Service Specialist,TP,"Chennai, Tamil Nadu",Customer Services Jobs,,2026-09-07T18:37:25Z,"Customer Service, Voice Process",2,Job description Greetings from Teleperformance Note - Mode of work (Work from Office) Job Title: Customer Support Executive (Banking Voice Process) Domain: Banking Domain (Government Bank) Location: Pattabiram - Avadi Tidel Park 4th floor Chennai. Eligibility Criteria: Any Graduates can apply Freshe...,https://www.adzuna.in/land/ad/5874134494?se=BstOqBOu8RGIYJ7STQTgoQ&utm_medium=api&utm_source=48e85034&v=C92316FE64E56092BB8D9D8D93AF56FB16DBBA21
"Windows, ESX, HyperV Admin",Tata Consultancy Services,"Chennai, Tamil Nadu",IT Jobs,permanent,2026-09-09T14:45:13Z,None Matched,0,"TCS Is Hiring for Windows, ESX, HyperV Admin Job location:- Gurgaon/Chennai Interview Mode:- Virtual Skill:-Windows, ESX, HyperV Admin VMware vSphere / ESXi & vCenter Hyper‑V & Failover Clustering HA, DRS & Live Migration Storage Integration & Performance Patching, Upgrades & Security Job Requiremen...",https://www.adzuna.in/land/ad/5876870963?se=BstOqBOu8RGIYJ7STQTgoQ&utm_medium=api&utm_source=48e85034&v=41C869158A311AE9462567B209BD348F4A139584
Operations Manager BPO (International Voice Process),Movate,"Chennai, Tamil Nadu",Accounting & Finance Jobs,,2026-07-29T15:20:12Z,Voice Process,1,Operations Manager BPO (International Voice Process) Job Responsibilities: Manage performance of the team Deliver on SLA commitments based on the contract Meet and exceed customer satisfaction goals Daily/Weekly/Monthly/Quarterly reporting of SLA performance Attend daily calls with client Employee r...,https://www.adzuna.in/land/ad/5819622192?se=BstOqBOu8RGIYJ7STQTgoQ&utm_medium=api&utm_source=48e85034&v=1C3A8D865EB36AB18E8E4AD851AA2177983EC1E3
Kofax Developer,Tata Consultancy Services,"Chennai, Tamil Nadu",IT Jobs,,2026-09-01T16:22:52Z,None Matched,0,"Hiring: Sr. Kofax Developer Are you an experienced Kofax Developer looking for your next opportunity? We are hiring skilled professionals with expertise in Kofax Capture, KTM, Kofax Total Agility (KTA), Kofax Import Connector, and Search & Match Server .  Location: Chennai / Bangalore  Experience: 5...",https://www.adzuna.in/land/ad/5864439121?se=BstOqBOu8RGIYJ7STQTgoQ&utm_medium=api&utm_source=48e85034&v=AC8E46CED93C71BB36A093E59492F4D045E4EC91
Walkin interview For US Healthcare AR Caller (Voice) Chennai,HCLTech,"Chennai, Tamil Nadu",Healthcare & Nursing Jobs,,2026-08-26T15:55:36Z,"Human Resources, Voice Process, Communication Skills",3,"Walkin for US Healthcare AR Caller (Voice) Chennai Experience: 1 to 4 yrs. Shift: US Shift (Night Shift) Skill: AR Caller (Voice Process) - Health Care Specification: Excellent Verbal and Written Communication Skills, Revenue Cycle Management, Denial Handling, AR Calling, US Healthcare, Medical Bill...",https://www.adzuna.in/land/ad/5856665349?se=BstOqBOu8RGIYJ7STQTgoQ&utm_medium=api&utm_source=48e85034&v=69DC922D969E83A972D5F1B50166F6BC8376FCEF
Business Development Manager,Learning Spiral Ltd.,"Chennai, Tamil Nadu",Sales Jobs,,2026-08-22T17:35:10Z,"Sales, Business Development",2,"Position Overview We are seeking a dynamic and results-driven Business Development Managers to drive business growth by identifying new opportunities, acquiring clients, and building long-term customer relationships. The ideal candidate will be responsible for executing effective sales strategies an...",https://www.adzuna.in/land/ad/5852476791?se=BstOqBOu8RGIYJ7STQTgoQ&utm_medium=api&utm_source=48e85034&v=1E08845A3DAE279CFBEAB6CDF75E43009231A5D7
"Senior Manager, Supply Chain Planning",HP,"Chennai, Tamil Nadu",Consultancy Jobs,,2026-08-19T14:05:00Z,Leadership,1,"This job is with HP, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. Senior Manager, Supply Chain Planning Description - Job Summary This role is responsible for providing direct leadership to...",https://www.adzuna.in/land/ad/5847959798?se=BstOqBOu8RGIYJ7STQTgoQ&utm_medium=api&utm_source=48e85034&v=7A01CF96A8841F561719723FB5627B1D077FA0C3
Mega Walkin Drive at HCL Tech for Voice Process - Fresher - Walk in interview on 17th Aug 2026 - 11 AM to 3 PM,HCLTech,"Chennai, Tamil Nadu",IT Jobs,,2026-08-18T05:08:32Z,Voice Process,1,Mega Walkin Drive at HCL Tech for Voice Process - Fresher - Walk in interview on 17th Aug 2026 - 11 AM to 3 PM Request all the candidate to fill the below form: Fresher - Process Associate - Voice Process (Registration Link) – Fill out form Designation: Process Associate Detailed Responsibilities: R...,https://www.adzuna.in/land/ad/5845683223?se=BstOqBOu8RGIYJ7STQTgoQ&utm_medium=api&utm_source=48e85034&v=A3BA9ABDC14E7BC9E926159F78CD5A1C89288449
Product Sales Executive,Infocareer,"Chennai, Tamil Nadu",Sales Jobs,,2026-09-05T18:31:25Z,"ERP Software, Sales, Cold Calling",3,"Location : Chennai/Chrompet Years of Experience : 2- 5 Years Work Mode : WFO Notice period : Only Immediate Joiners Identify, target, and acquire new customers within the Freight Forwarding and Logistics industry. IT Sales professionals with experience in ERP, SaaS, or Logistics Software solutions. ...",https://www.adzuna.in/land/ad/5871992429?se=BstOqBOu8RGIYJ7STQTgoQ&utm_medium=api&utm_source=48e85034&v=FD7693535F5BF0C4632DB53BD2CE97B61B53ABBA
Junior IT Administrator,innopay,"Coimbatore, Tamil Nadu",IT Jobs,permanent,2026-09-09T14:45:09Z,None Matched,0,"Junior IT Administrator Company: Innolens Media & Broadcasting Ltd - Class A Licensed Internet Service Provider (DoT Unified License, ISP Category A) Location: Coimbatore, Tamil Nadu, India Department: IT & Network Operations Reports to: Head, IT Administration & Compliance Employment Type: Full-tim...",https://www.adzuna.in/land/ad/5876870828?se=BstOqBOu8RGIYJ7STQTgoQ&utm_medium=api&utm_source=48e85034&v=BEF3D699967B86F4C407B5313257EF6D0E1FB70E
Azure data engineer - F2F discussion - Chennai,Tata Consultancy Services,"Chennai, Tamil Nadu",IT Jobs,,2026-09-02T16:42:44Z,SQL,1,"Greetings from Tata Consultancy Services (TCS) What we are looking for: Azure data engineer Location : Chennai Interview Mode : F2F discussion Exp : 5 Years Design, develop, and maintain scalable data pipelines and data integration solutions using Azure cloud services. Build and manage ETL/ELT proce...",https://www.adzuna.in/land/ad/5867036131?se=OEmrqhOu8RGw3foOHxJxCQ&utm_medium=api&utm_source=48e85034&v=C48C5706049EB6DA33F6189F3349ED33FD35CA25
Business Manager - Government/ PSU Sales,SHI Solutions India Pvt. Ltd.,"Chennai, Tamil Nadu",Sales Jobs,,2026-08-26T22:02:32Z,"Data Analysis, Sales",2,"Job Title: Sr/Business Manager - Enterprise (Hunting & Farming Role) Day Shift & 5 days a week Experience : 8 years Relevant Experience : Selling of Core Data Center, Network, Security, HPC, Cybersecurity, or IT Infra Solutions is a must About Us: SHI is a leading systems integrator offering cutting...",https://www.adzuna.in/land/ad/5857169046?se=OEmrqhOu8RGw3foOHxJxCQ&utm_medium=api&utm_source=48e85034&v=E638F405546253A9A148EDC90FB25953A5F6D035
BMC Remedy Admin,Tata Consultancy Services,"Chennai, Tamil Nadu",IT Jobs,,2026-09-05T18:32:52Z,None Matched,0,"TCS hiring for BMC Remedy Admin Location: Chennai Experience: 6-10 Must have: BMC : Remedy ITSM expertise Extensive experience on working on Remedy workflows like Activelink Filters escalation etc. Experience on Application maintenance and Admin configuration like profile/User, server group ranking ...",https://www.adzuna.in/land/ad/5871993030?se=OEmrqhOu8RGw3foOHxJxCQ&utm_medium=api&utm_source=48e85034&v=9EC146A2194F59C6F872576B40A5EE34805AC62B
L2 SQL Database Administrator,Tata Consultancy Services,"Chennai, Tamil Nadu",IT Jobs,,2026-09-01T16:22:45Z,SQL,1,"TCS is Hiring for MS SQL, PostegreSQL DBA Interview Date:-25-08-2026 Location:- Chennai/ Gurgaon Exp:-6-8 Yr Must have:-SQL Server Administration RDBMS Backup, Restore & DR Performance Monitoring & Tuning HA Replication Security, Patching & Compliance JD Job Requirements* Years of experience on SQL ...",https://www.adzuna.in/land/ad/5864438429?se=OEmrqhOu8RGw3foOHxJxCQ&utm_medium=api&utm_source=48e85034&v=6EDC8C32BEC3AAC514726A7C4383D4BD71B2A347
Sales Manager -(Individual Contributor Role),Design Cafe,"Chennai, Tamil Nadu",Sales Jobs,,2026-08-29T16:07:33Z,Sales,1,"Design Cafe is hiring a Senior Sales Executive( Individual contributor) for its Chennai (Mount Road Center) Address: Metro Station Entry, 137(95, near LIC Building, Anna Salai, Triplicane, Chennai, Tamil Nadu 600002 Our Maximum budget for the role is 6.5-7lpa. Intersted candidates can reach out to r...",https://www.adzuna.in/land/ad/5860977574?se=OEmrqhOu8RGw3foOHxJxCQ&utm_medium=api&utm_source=48e85034&v=16E8D8212526D3B729CB93FA284B0117EE771290
Information Security Analyst,ACL Digital,"Chennai, Tamil Nadu",IT Jobs,,2026-09-02T16:41:35Z,Auditing,1,"Information Security & QMS Analyst Experience: 2–5 Years | Locations: Chennai (1) | Bengaluru (1) Role Overview Support Information Security, Data privacy, QMS activities, including audits, contract reviews, project security assessments, in alignment with ISO 9001 and ISO 27001. This is a work-from-...",https://www.adzuna.in/land/ad/5867035736?se=OEmrqhOu8RGw3foOHxJxCQ&utm_medium=api&utm_source=48e85034&v=BB6EEDDE8F42A465C710E294B4460DF5D0C81112
Head – University Guidance & Career Counselling Centre (UGCC) – Meenakshi Sundararajan Group of Institutions,Meenakshi Sundararajan Group of Institutions,"Chennai, Tamil Nadu",Teaching Jobs,,2026-08-27T15:58:45Z,Leadership,1,"The Head of UGCC will lead the University Guidance & Career Counselling Centre, providing strategic direction, student advisory services, university partnerships, career exploration initiatives, and admissions support. The position requires strong expertise in higher education pathways, student coun...",https://www.adzuna.in/land/ad/5858113112?se=OEmrqhOu8RGw3foOHxJxCQ&utm_medium=api&utm_source=48e85034&v=5804CD2943CFD96E4BE8D5EF724F0A436682F2B8
Business Development Executive – EdTech / STEM,TriHusLab,"Chennai, Tamil Nadu",Sales Jobs,,2026-09-09T14:45:28Z,Business Development,1,"Business Development Executive – EdTech / STEM Location: Chennai, Tamil Nadu Company: TriHusLab Employment Type: Full-time Experience: Freshers & experienced candidates can apply About TriHusLab TriHusLab is an education and design-technology company working with schools to introduce practical, proj...",https://www.adzuna.in/land/ad/5876871736?se=OEmrqhOu8RGw3foOHxJxCQ&utm_medium=api&utm_source=48e85034&v=AE01B1C6421D07322FB7E3D9E0B37D429123C97F
Manager - FP&A and Cost Control,Intersnack Cashew India Private Limited,"Thoothukudi, Tamil Nadu",Accounting & Finance Jobs,,2026-08-13T16:19:09Z,Financial Reporting,1,We are Hiring - Manager - FP&A and Cost Control Purpose of the position: To align the company's goals and objectives with financial performances through an in-depth analysis of key performance indicators. Ensuring accuracy of financial reporting and its consolidation reports to group company. To max...,https://www.adzuna.in/land/ad/5840224845?se=OEmrqhOu8RGw3foOHxJxCQ&utm_medium=api&utm_source=48e85034&v=5E605BACF1BD399E244D67B125FE8DFDBE409240
"HCLTech is hiring for International contact Center - Senior Process Associate on 28th and 29th Aug,2026 (Inbound calls)",HCLTech,"Chennai, Tamil Nadu",Customer Services Jobs,,2026-08-26T22:01:31Z,"Human Resources, Voice Process",2,"HCLTech is hiring for International contact Center - Senior Process Associate on 28th and 29th Aug,2026 (Inbound calls) Walk-in Drive Details:  Date : 28th and 29th Aug,2026 - Friday and Saturday  Location : HCL Tech, Tower 4 Ground floor Elcot Sez, Sholinganallur, Chennai – 600119 ⏰ Time : 10AM - 3...",https://www.adzuna.in/land/ad/5857168397?se=OEmrqhOu8RGw3foOHxJxCQ&utm_medium=api&utm_source=48e85034&v=224E755BCFE5DE0C5526B4BA64656F9121ABB5E4
Sr Dynamics 365 Analyst - Customer Service,MSC Technology,"Chennai, Tamil Nadu",IT Jobs,,2026-07-11T19:28:37Z,Customer Service,1,"Requirements Gathering : Ability to define business and functional requirements by engaging with stakeholders, ensuring alignment with Microsoft Dynamics 365 and Power Platform capabilities. Solution Design: Expertise in collaborating with Solution Architects and Developers to create high-level and ...",https://www.adzuna.in/land/ad/5796971468?se=OEmrqhOu8RGw3foOHxJxCQ&utm_medium=api&utm_source=48e85034&v=DEA01359F7399D10CABC6275E04E53374557BC9B
Sales Rep./ Territory Business Executive,Novartis,"Tamil Nadu, India",Sales Jobs,,2026-08-28T18:11:55Z,Sales,1,"This job is with Novartis, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. Summary As a Sales Representative at Novartis, you'll build strong relationships with healthcare professionals and de...",https://www.adzuna.in/land/ad/5859662624?se=OEmrqhOu8RGw3foOHxJxCQ&utm_medium=api&utm_source=48e85034&v=889A90774CE480DCB137793358227CC3AC73A632
US Bookkeeping Accountant,Magic Books,"Chennai, Tamil Nadu",Accounting & Finance Jobs,,2026-08-23T17:38:43Z,Bookkeeping,1,"Experience: 3 to 4 years Location : Onsite ( Chennai ) Job brief: We are in search of a disciplined, street-smart, and resilient Bookkeeping Accountant to join our team. This role requires a skilled and detail-oriented professional responsible for maintaining accurate financial records, executing di...",https://www.adzuna.in/land/ad/5853620747?se=OEmrqhOu8RGw3foOHxJxCQ&utm_medium=api&utm_source=48e85034&v=46B929DBF124BA93716EE322E34BA93C81706390
Assistant Manager,Golden Coir Tufts,"Pollachi, Coimbatore",Manufacturing Jobs,,2026-09-01T16:22:52Z,None Matched,0,"Job Title: Assistant Manager - [Production / Printing / Packing & Dispatch] Reports To: Factory Manager Location: Pollachi Salary: ₹40,000 - ₹50,000 per month We are looking for a responsible and hands-on Assistant Manager to manage the daily operations of a department within our factory. The select...",https://www.adzuna.in/land/ad/5864439079?se=OEmrqhOu8RGw3foOHxJxCQ&utm_medium=api&utm_source=48e85034&v=A5FF674739C68598A03E014EAD88BE1101CCED3D
Quality Engineer - Surface Mount Technology,HP,"Chennai, Tamil Nadu",Manufacturing Jobs,,2026-08-19T14:04:56Z,None Matched,0,"This job is with HP, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. Quality Engineer - Surface Mount Technology Description - HP is the world's leading personal systems and printing company, ...",https://www.adzuna.in/land/ad/5847959725?se=OEmrqhOu8RGw3foOHxJxCQ&utm_medium=api&utm_source=48e85034&v=E2D44C88024F7EEF7B2FCCDB36596B9986ECAA1E
Design Engineer - Temp role,"CIRCOR International, Inc.","Coimbatore, Tamil Nadu",Engineering Jobs,contract,2026-08-26T23:57:24Z,None Matched,0,"ORGANIZATIONAL STRUCTURE BUSINESS: CIRCOR LOCATION: COIMBATORE, INDIA DIRECT REPORTING: TEAM LEAD – ENGINEERING FUNCTIONAL REPORTING: NA POSITION DETAILS Position Summary The candidate will be part of the Industrial Valves Engineering team, supporting creation of Bills of materials, 3D CAD models an...",https://www.adzuna.in/land/ad/5857213106?se=OEmrqhOu8RGw3foOHxJxCQ&utm_medium=api&utm_source=48e85034&v=F9C95EF0553E5242585DFC9050BD77C971460875
Business development executive,Bag2Bag Hotels & Homes,"Chennai, Tamil Nadu",Sales Jobs,,2026-09-05T18:30:23Z,Business Development,1,"Company Description: Bag2Bag is India’s first online accommodation platform offering instant bookings across hotels, homestays, service apartments, resorts, cottages, villas, and more, for flexible stays from a few hours to weeks or months. Accessible via both mobile app and website, Bag2Bag enhance...",https://www.adzuna.in/land/ad/5871991916?se=OEmrqhOu8RGw3foOHxJxCQ&utm_medium=api&utm_source=48e85034&v=846DF4E6E79836AB8275814BC88FD8CAB41AF922
Senior OneStream Application Specialist – Support Tech Lead,CMA CGM Global Business Services ,"Chennai, Tamil Nadu",IT Jobs,,2026-09-01T16:22:56Z,None Matched,0,"Job Role: Senior OneStream Application Specialist – Support Tech Lead About the role: We are looking for a Senior OneStream Application Specialist to join our Finance IT / EPM application support team in Chennai and act as a Support Tech Lead for OneStream operations. In this role, you will help ens...",https://www.adzuna.in/land/ad/5864439472?se=OEmrqhOu8RGw3foOHxJxCQ&utm_medium=api&utm_source=48e85034&v=F1F74A873EE0D60E1C89105CB12429825193E878
ELECTRICAL ENGINEER,ABB,"Chennai, Tamil Nadu",Engineering Jobs,,2026-08-22T12:06:20Z,None Matched,0,"This job is with ABB, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. At ABB, we help industries run leaner and cleaner—and every person here makes that happen. You’ll be empowered to lead, su...",https://www.adzuna.in/land/ad/5852164436?se=OEmrqhOu8RGw3foOHxJxCQ&utm_medium=api&utm_source=48e85034&v=DDB5D6CBBF4B49FE08EA00FEC610EE24E31EF637
